country_code,country_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BMU,Bermuda,0.160786345,0.162412088,0.193282545,0.194679325,0.175389541,0.208392763,0.191178601,0.209155665,0.209375716,0.207677024,0.206169626,0.179197192,0.177966982,0.183547797,0.196902329,0.192490087,0.188845717,0.276139299,0.320357163,0.393238069,0.281937373,0.256796806,0.207891208,0.229340168,0.227465584,0.228627666,0.232603823,0.238412213,0.243795808,0.246842697,0.177569798,0.176029676,0.193208244,0.198845697,0.200854833,0.214271946,0.260971624,0.307543248,0.309443444,0.273485427,0.338907109,0.179684565,0.204314242,0.224750593,0.300781151,0.258577659,0.341062473,0.314079361,0.328991263,0.330023609,0.239981455,0.270751227,0.283684996,0.296785397,0.305677232
BOL,Bolivia,26.78821634,27.83530858,32.47395733,34.04826051,33.85651071,32.58166313,33.94846503,31.68936925,32.80783222,30.78752597,30.10270591,27.91019061,29.24958969,30.13439082,28.39286691,28.63466724,26.34041987,27.45943297,28.18806488,29.83051532,29.42990107,31.31167194,32.62846823,34.94655056,37.03428624,29.4384603,29.46118728,33.88909319,31.39390225,30.55092665,29.99532347,28.58817901,29.75552962,30.78207944,32.10938614,32.70465116,33.83775455,35.84693562,37.05830831,38.45875739,41.82060921,42.67732716,44.50683871,46.31153299,47.36715186,48.3840759,50.11086079,50.77290435,51.47400551,52.39566751,49.24305947,53.38562456,55.43203061,57.21283484,63.75719764
BRA,Brazil,336.3371152,342.4555643,363.4536707,390.368809,417.5690386,439.3946688,474.9801135,492.9092267,506.6988196,530.3061855,557.5919186,543.5151348,551.0265148,546.6113274,567.5653559,586.4921124,618.1900676,634.8409017,650.3135328,660.0590149,649.2359864,676.336973,697.8057393,723.7353409,752.795669,789.7805599,794.4638246,818.7315561,833.8577145,849.0536205,870.3340768,882.1005167,904.5260445,934.4198419,983.4186807,1000.644867,1004.579139,1024.210211,1057.606705,1032.205789,1110.027088,1146.649547,1180.00879,1215.94309,1248.609297,1233.223204,1208.3076,1219.238859,1195.921374,1200.306041,1196.009988,1277.187041,1278.54217,1297.17075,1299.180208
BRB,Barbados,0.605281002,0.613923727,0.666911384,0.675691194,0.631783124,0.679311996,0.654469777,0.70752076,0.711245909,0.714794058,0.726348519,0.711641219,0.693623644,0.704019651,0.702306182,0.764124877,0.793580325,0.750396461,0.761826074,0.841289774,0.856180089,0.827574134,0.815627184,0.776808397,0.764767566,0.77664771,0.769821566,0.866618085,0.933184107,0.967177581,0.8392852,0.801078198,0.829208155,0.858344631,0.852956994,0.866620493,0.904144023,0.872365781,0.994040324,1.003405197,1.021237311,0.880021876,0.839883,0.924019867,0.86085576,0.912603609,0.967372678,0.877785583,0.976558199,1.067249133,0.865477216,0.851135823,0.890757348,0.888880118,0.912054461
BRN,Brunei,2.714191756,2.559049161,3.131927597,3.95030678,4.113544592,4.264845371,5.025380484,5.205379932,5.318259961,5.121196214,5.995810537,4.944190715,5.291076801,5.680294997,5.498856037,5.361972836,5.151183597,5.18376597,5.497552938,5.449249628,5.851626219,6.373631872,6.587151599,6.906302502,7.039199627,7.324419148,7.692890557,8.20214115,7.670511204,8.154317126,8.486169789,8.72979452,7.897674155,8.912117179,8.410288807,8.090840412,11.32359422,10.80877702,12.90579009,11.01841803,9.979050137,10.67793345,10.34150204,10.27876499,10.48716168,9.77723505,10.18527482,10.18288474,10.41195901,10.08214499,12.75563893,12.53426068,11.90679158,12.06124274,11.86548806
BTN,Bhutan,0.53398416,0.544172616,0.557888031,0.570365983,0.583819776,0.593734194,0.610976186,0.627411547,0.651326938,0.668975321,0.685205288,0.726772582,0.753557869,0.782579435,0.802069495,0.841126008,0.853690327,0.923116534,0.903216237,0.915686775,1.131056865,1.025244428,0.991166645,1.022125625,1.095356113,1.252343775,1.277195347,1.291688884,1.313240065,1.345115919,1.350354785,1.364659464,1.403782789,1.435564566,1.447652184,1.578354925,1.664511293,1.686610328,1.727774976,1.885640125,2.008316587,2.232833026,2.178622089,2.296131424,2.341231856,2.530882427,2.683648039,2.769377592,3.068551574,3.115900869,2.717409238,2.854098147,2.799528732,2.792712338,2.806317914
BWA,Botswana,3.408555979,3.53479749,4.107726738,4.336636447,4.929777361,5.495554728,6.321482291,6.871503304,6.626492608,6.709555234,6.917318214,7.16104675,7.374268024,7.097485029,6.847127045,6.538341614,6.710801634,6.831789397,7.86061879,8.363134774,9.270629735,8.281737079,8.52900926,8.356133869,8.409679904,9.441247365,8.565768058,8.796922487,9.6446059,10.34531242,10.94960127,10.24711233,10.03868374,9.468838565,9.427340493,10.1355334,10.01928466,10.1976581,10.8969606,10.27406944,10.65108546,11.32850739,9.908832794,11.81268983,12.8548097,13.19830742,12.37840704,12.84337752,13.75305282,12.42045334,10.95154741,12.2564744,12.5320745,12.60769684,12.09772959
CAF,Central African Republic,1.571964955,1.645542678,1.738961988,1.821412139,1.920573057,1.974407163,2.052771665,2.212961637,2.443679826,3.037537244,3.235788509,3.35961763,6.555363325,6.678040521,6.247178836,6.419209824,6.970572209,6.845448947,6.649165117,7.440605323,7.600666488,8.100855538,8.082018053,7.540971523,8.191391387,8.40091367,8.73791491,7.848136761,9.163311943,8.967942471,9.168303469,9.603349852,8.560762404,9.696292894,9.042823002,9.75254334,9.816422117,10.85821274,10.89240903,10.25140245,10.92275271,11.84382359,11.57866422,11.5254766,11.45612492,11.87857804,12.64990208,12.14151197,12.46942033,12.27454636,12.60289746,12.75629325,13.07899647,12.77766475,13.44428958
CAN,Canada,473.6505712,483.2268664,505.1161448,532.7384491,541.5737085,526.6556641,538.0770963,559.1454994,565.9376568,580.5142172,585.6635976,565.9217906,547.1993083,548.8146084,570.4927044,566.4066073,553.1904389,569.6176304,604.1542944,626.7589258,590.5156125,586.092272,602.6766222,607.8639539,633.8956212,649.8084924,667.7604006,681.3904472,690.8513163,701.3520581,724.3890068,715.4580453,737.7192275,757.2196299,745.8843906,767.1729414,763.1615737,784.7510519,760.7636665,720.4397992,741.3400545,758.5629653,754.6653932,765.4783478,776.273892,768.7544892,765.2449595,785.9246343,809.0595937,805.4996238,728.5112267,742.9301343,761.3626062,755.239252,768.0589211
CHE,Switzerland and Liechtenstein,50.60287493,52.45906557,53.20876344,57.18300199,52.53368615,50.01025037,51.89020837,52.40272664,53.70426821,52.50815396,53.33307797,50.69230619,48.3731963,52.53073789,52.09038142,55.21852444,55.1260482,53.31682888,53.1907305,53.02315935,53.9743914,56.38687619,56.14304622,53.60270354,52.63094356,53.43507919,54.02216204,52.58475163,54.13242141,54.27484047,53.51629003,55.02534307,53.39015351,54.6432618,55.2286164,55.92859026,55.26434136,53.23908343,54.82166202,53.34921182,55.13621649,51.12554115,52.48779107,53.74621446,50.09076421,49.44832071,49.94919421,49.04253589,47.75247645,47.55539217,45.17252753,46.91991232,43.68577647,42.87488698,42.99244073
